dof_id,euring_id,species_euring_id,latin,common,type,iucn,iba_amnt,times_seen,breeding_status,last_confirmed_breeding,invasive,Atlas_III_squares_with_breeding,use_in_analysis
1031,05820,05820,Chroicocephalus ridibundus,Black-headed Gull,species,LC,31000,57680,Regular,2017,NA,262,1
1041,05900,05900,Larus canus,Mew Gull,species,LC,16400,37966,Regular,2017,NA,414,1
1045,05910,05910,Larus fuscus,Lesser Black-backed Gull,species,LC,11800,1403,Regular,2017,NA,85,1
1051,05920,05920,Larus argentatus,European Herring Gull,species,LC,14400,50750,Regular,2017,NA,316,1
1059,05930,05930,Larus cachinnans,Caspian Gull,species,LC,NA,6,NA,NA,NA,NA,0
1069,05980,05980,Larus glaucoides,Iceland Gull,species,LC,2100,1,NA,NA,NA,NA,0
1073,05990,05990,Larus hyperboreus,Glaucous Gull,species,LC,340,9,NA,NA,NA,NA,0
1075,06000,06000,Larus marinus,Great Black-backed Gull,species,LC,3600,5798,Regular,2017,NA,148,1
1079,06020,06020,Rissa tridactyla,Black-legged Kittiwake,species,VU,NA,52,Regular,2017,NA,3,1
1083,06050,06050,Gelochelidon nilotica,Gull-billed Tern,species,LC,480,1,Regular,2017,NA,1,1
1084,06060,06060,Hydroprogne caspia,Caspian Tern,species,LC,50,8,Regular,2017,NA,11,1
1098,06110,06110,Thalasseus sandvicensis,Sandwich Tern,species,LC,1700,231,NA,NA,NA,20,1
1108,06150,06150,Sterna hirundo,Common Tern,species,LC,11000,1250,Regular,2017,NA,130,1
1112,06160,06160,Sterna paradisaea,Arctic Tern,species,LC,31000,1078,Regular,2017,NA,173,1
1126,06240,06240,Sternula albifrons,Little Tern,species,LC,220,214,Regular,2017,NA,78,1
1132,06270,06270,Chlidonias niger,Black Tern,species,LC,4000,62,Regular,2017,NA,5,1
1145,06340,06340,Uria aalge,Common Murre,species,LC,116000,6,Regular,2017,NA,3,1
1150,06360,06360,Alca torda,Razorbill,species,NT,15800,10,Regular,2017,NA,3,1
1155,06380,06380,Cepphus grylle,Black Guillemot,species,LC,8060,19,Regular,2017,NA,33,1
1174,06470,06470,Alle alle,Little Auk,species,LC,1250000,8,NA,NA,NA,NA,0
1182,06540,06540,Fratercula arctica,Atlantic Puffin,species,VU,35000,1,NA,NA,NA,NA,0
1205,06650,06650,Columba livia,Rock Dove,species,LC,NA,658,Regular,2017,1,NA,1
1210,06680,06680,Columba oenas,Stock Dove,species,LC,NA,2503,Regular,2017,NA,672,1
1212,06700,06700,Columba palumbus,Common Wood Pigeon,species,LC,NA,152387,Regular,2017,NA,2135,1
1233,06840,06840,Streptopelia decaocto,Eurasian Collared Dove,species,LC,NA,12507,Regular,2017,NA,1519,1
1237,06870,06870,Streptopelia turtur,European Turtle Dove,species,VU,NA,38,Regular,2017,NA,32,1
1295,07240,07240,Cuculus canorus,Common Cuckoo,species,LC,NA,50507,Regular,2017,NA,1832,1
1311,07350,07350,Tyto alba,Western Barn Owl,species,LC,NA,1,Regular,2017,NA,172,1
1332,07440,07440,Bubo bubo,Eurasian Eagle-Owl,species,LC,NA,11,Regular,2017,NA,105,1
1344,07500,07500,Surnia ulula,Northern Hawk-Owl,species,LC,NA,1,NA,NA,NA,NA,0
1354,07570,07570,Athene noctua,Little Owl,species,LC,NA,6,Regular,2017,NA,26,1
1362,07610,07610,Strix aluco,Tawny Owl,species,LC,NA,629,NA,NA,NA,1023,1
